time,side,order_type,time_in_force,original_quantity,price,average_price,order_status,last_fill_quantity,accumulated_fill_quantity
1706491685067,BUY,LIMIT,IOC,0.023,43245.3,42848.1,FILLED,0.004,0.023
1706491685067,BUY,LIMIT,IOC,0.023,43245.3,42848.1,FILLED,0.004,0.023
1706492220708,BUY,LIMIT,IOC,0.039,43353.9,42934.7,FILLED,0.012,0.039
1706492220708,BUY,LIMIT,IOC,0.039,43353.9,42934.7,FILLED,0.012,0.039
1706495581705,BUY,LIMIT,IOC,0.003,43372.9,42950.0,FILLED,0.003,0.003
1706495581705,BUY,LIMIT,IOC,0.003,43372.9,42950.0,FILLED,0.003,0.003
1706543450510,BUY,LIMIT,IOC,0.005,43460.8,43046.2,FILLED,0.005,0.005
1706543450510,BUY,LIMIT,IOC,0.005,43460.8,43046.2,FILLED,0.005,0.005
1706543547977,BUY,LIMIT,IOC,0.095,43548.7,43148.7,FILLED,0.009,0.095
1706543547977,BUY,LIMIT,IOC,0.095,43548.7,43148.7,FILLED,0.009,0.095
1706544074881,BUY,LIMIT,IOC,0.004,43742.3,43320.1,FILLED,0.002,0.004
1706544074881,BUY,LIMIT,IOC,0.004,43742.3,43320.1,FILLED,0.002,0.004
1706544079803,BUY,LIMIT,IOC,0.016,43738.3,43330.2,FILLED,0.010,0.016
1706544079803,BUY,LIMIT,IOC,0.016,43738.3,43330.2,FILLED,0.010,0.016
1706545252939,BUY,LIMIT,IOC,1.158,44010.0,43640.9,FILLED,0.139,1.158
1706545252939,BUY,LIMIT,IOC,1.158,44010.0,43640.9,FILLED,0.139,1.158
1706545255342,BUY,LIMIT,IOC,0.106,44027.3,43634.9,FILLED,0.082,0.106
1706545255342,BUY,LIMIT,IOC,0.106,44027.3,43634.9,FILLED,0.082,0.106
1706545259346,BUY,LIMIT,IOC,0.001,44005.8,43632.3,FILLED,0.001,0.001
1706545259346,BUY,LIMIT,IOC,0.001,44005.8,43632.3,FILLED,0.001,0.001
1706546090342,BUY,LIMIT,IOC,0.001,44189.4,43778.4,FILLED,0.001,0.001
1706546090342,BUY,LIMIT,IOC,0.001,44189.4,43778.4,FILLED,0.001,0.001
1706546091424,BUY,LIMIT,IOC,0.003,44186.5,43774.9,FILLED,0.003,0.003
1706546091424,BUY,LIMIT,IOC,0.003,44186.5,43774.9,FILLED,0.003,0.003
1706546429303,BUY,LIMIT,IOC,0.031,44204.9,43793.0,FILLED,0.031,0.031
1706546429303,BUY,LIMIT,IOC,0.031,44204.9,43793.0,FILLED,0.031,0.031
1706546734858,BUY,LIMIT,IOC,0.079,44290.9,43862.9,FILLED,0.011,0.079
1706546734858,BUY,LIMIT,IOC,0.079,44290.9,43862.9,FILLED,0.011,0.079
1706547116436,BUY,LIMIT,IOC,0.100,44377.3,43950.5,FILLED,0.007,0.100
1706547116436,BUY,LIMIT,IOC,0.100,44377.3,43950.5,FILLED,0.007,0.100
1706547149637,BUY,LIMIT,IOC,0.004,44376.9,43954.5,FILLED,0.004,0.004
1706547149637,BUY,LIMIT,IOC,0.004,44376.9,43954.5,FILLED,0.004,0.004
