time,side,order_type,time_in_force,original_quantity,price,average_price,order_status,last_fill_quantity,accumulated_fill_quantity
1709338250936,BUY,LIMIT,IOC,0.001,63854.5,63239.5,FILLED,0.001,0.001
1709338250936,BUY,LIMIT,IOC,0.001,63854.5,63239.5,FILLED,0.001,0.001
1709339978511,SELL,LIMIT,IOC,0.001,62554.3,63177.0,FILLED,0.001,0.001
1709339978511,SELL,LIMIT,IOC,0.001,62554.3,63177.0,FILLED,0.001,0.001
1709342394278,SELL,LIMIT,IOC,0.003,62369.3,62973.1,FILLED,0.002,0.003
1709342394278,SELL,LIMIT,IOC,0.003,62369.3,62973.1,FILLED,0.002,0.003
1709342485928,SELL,LIMIT,IOC,0.160,62324.4,62941.1,FILLED,0.058,0.160
1709342485928,SELL,LIMIT,IOC,0.160,62324.4,62941.1,FILLED,0.058,0.160
1709351901711,BUY,LIMIT,IOC,0.008,63868.8,63244.9,FILLED,0.006,0.008
1709351901711,BUY,LIMIT,IOC,0.008,63868.8,63244.9,FILLED,0.006,0.008
1709352265082,BUY,LIMIT,IOC,0.003,63789.8,63162.0,FILLED,0.003,0.003
1709352265082,BUY,LIMIT,IOC,0.003,63789.8,63162.0,FILLED,0.003,0.003
1709364804411,BUY,LIMIT,IOC,0.015,63424.7,62814.3,FILLED,0.015,0.015
1709364804411,BUY,LIMIT,IOC,0.015,63424.7,62814.3,FILLED,0.015,0.015
1709365890147,BUY,LIMIT,IOC,0.001,63543.7,62927.7,FILLED,0.001,0.001
1709365890147,BUY,LIMIT,IOC,0.001,63543.7,62927.7,FILLED,0.001,0.001
1709371068092,SELL,LIMIT,IOC,0.053,62176.0,62784.2,FILLED,0.010,0.053
1709371068092,SELL,LIMIT,IOC,0.053,62176.0,62784.2,FILLED,0.010,0.053
1709388172918,BUY,LIMIT,IOC,0.004,63238.3,62658.6,FILLED,0.004,0.004
1709388172918,BUY,LIMIT,IOC,0.004,63238.3,62658.6,FILLED,0.004,0.004
1709388201659,SELL,LIMIT,IOC,0.400,61973.2,62554.5,FILLED,0.015,0.400
1709388201659,SELL,LIMIT,IOC,0.400,61973.2,62554.5,FILLED,0.015,0.400
1709388223413,SELL,LIMIT,IOC,0.001,61948.0,62502.2,FILLED,0.001,0.001
1709388223413,SELL,LIMIT,IOC,0.001,61948.0,62502.2,FILLED,0.001,0.001
1709388225794,SELL,LIMIT,IOC,0.001,61919.9,62508.6,FILLED,0.001,0.001
1709388225794,SELL,LIMIT,IOC,0.001,61919.9,62508.6,FILLED,0.001,0.001
1709405900258,BUY,LIMIT,IOC,0.002,63640.2,63041.3,FILLED,0.002,0.002
1709405900258,BUY,LIMIT,IOC,0.002,63640.2,63041.3,FILLED,0.002,0.002
