time,side,order_type,time_in_force,original_quantity,price,average_price,order_status,last_fill_quantity,accumulated_fill_quantity
1700988987101,SELL,LIMIT,IOC,0.005,38583.8,38964.1,FILLED,0.001,0.005
1700988987101,SELL,LIMIT,IOC,0.005,38583.8,38964.1,FILLED,0.001,0.005
1701001503185,SELL,LIMIT,IOC,0.032,38351.7,38546.6,FILLED,0.029,0.032
1701001503185,SELL,LIMIT,IOC,0.032,38351.7,38546.6,FILLED,0.029,0.032
1701001504456,SELL,LIMIT,IOC,0.001,38277.8,38618.1,FILLED,0.001,0.001
1701001504456,SELL,LIMIT,IOC,0.001,38277.8,38618.1,FILLED,0.001,0.001
1701006198826,SELL,LIMIT,IOC,0.057,38242.1,38598.1,FILLED,0.010,0.057
1701006198826,SELL,LIMIT,IOC,0.057,38242.1,38598.1,FILLED,0.010,0.057
1701006334565,SELL,LIMIT,IOC,0.002,38185.4,38560.6,FILLED,0.002,0.002
1701006334565,SELL,LIMIT,IOC,0.002,38185.4,38560.6,FILLED,0.002,0.002
1701009260674,SELL,LIMIT,IOC,0.010,38166.3,38560.9,FILLED,0.010,0.010
1701009260674,SELL,LIMIT,IOC,0.010,38166.3,38560.9,FILLED,0.010,0.010
1701016048078,SELL,LIMIT,IOC,5.000,37844.9,38437.4,FILLED,0.182,5.000
1701016048078,SELL,LIMIT,IOC,5.000,37844.9,38437.4,FILLED,0.182,5.000
1701016838741,SELL,LIMIT,IOC,1.291,37977.8,38319.3,FILLED,1.280,1.291
1701016838741,SELL,LIMIT,IOC,1.291,37977.8,38319.3,FILLED,1.280,1.291
