,price,amount
68,32161.36,237233.88640000002
69,32158.720000000005,184210.9952
70,32157.510000000002,132138.13199999998
71,32156.850000000002,259681.1805
72,32156.740000000005,173792.56300000002
73,32172.58,396424.6812
74,32174.670000000002,170262.5037
75,32174.890000000003,246781.4063
76,32179.840000000004,116695.8016
77,32176.100000000002,134583.851
78,32175.000000000004,153270.0
79,32174.010000000002,116031.1797
80,32173.68,255517.5168
81,32173.570000000003,140218.2678
82,32173.460000000003,208133.03759999998
83,32172.36,363050.45879999996
84,32170.490000000005,185360.5142
85,32181.600000000002,122143.79999999999
86,32179.4,110872.66
87,32184.68,167945.512
88,32183.800000000003,118992.28600000001
89,32193.590000000004,237237.4914
90,32190.950000000004,120745.327
91,32195.350000000002,198440.43
92,32195.350000000002,124098.44
93,32195.350000000002,209503.923
94,32193.040000000005,249027.79760000002
95,32190.950000000004,103771.917
96,32195.13,234878.1075
97,32191.170000000002,109742.625
98,32191.170000000002,131808.2088
99,32191.06,146381.5292
100,32188.420000000002,104700.1516
101,32187.760000000002,180075.8864
102,32183.800000000003,502242.82800000004
103,32179.070000000003,105371.8274
104,32180.390000000003,152096.2251
105,32179.730000000003,160547.59840000002
106,32179.510000000002,146797.07379999998
107,32179.4,274753.56799999997
108,32189.300000000003,130308.13900000001
109,32185.010000000002,213708.4664
110,32188.090000000004,122373.26580000002
111,32204.480000000003,100565.808
112,32204.590000000004,193637.4166
113,32204.480000000003,241738.53759999998
114,32204.480000000003,369180.448
115,32204.480000000003,548940.0
116,32204.480000000003,517877.3152
117,32204.370000000003,183535.6323
118,32203.93,151504.85249999998
119,32200.08,112144.0968
120,32199.420000000002,250570.032
121,32204.590000000004,292769.0
122,32204.590000000004,100566.1515
123,32204.590000000004,148258.22160000002
124,32196.450000000004,1465582.404
125,32199.750000000004,472487.4224999999
126,32199.200000000004,101076.216
127,32202.06,146373.0
128,32202.06,277142.6382
129,32197.88,219648.0832
130,32207.340000000004,250748.78160000002
131,32241.990000000005,104083.0059
132,32241.88,122226.036
133,32238.250000000004,345828.5
134,32229.890000000003,233403.00340000002
135,32225.710000000003,112731.39279999999
136,32225.600000000002,105055.45599999999
137,32221.86,114885.5772
138,32221.750000000004,120333.59
139,32219.66,105299.707
140,32220.100000000002,137052.589
141,32233.850000000002,160143.6275
142,32239.68,150207.6
143,32249.58,213961.3044
144,32249.58,590519.1276
145,32246.500000000004,304788.055
146,32244.850000000002,100838.44
147,32245.18,348306.57159999997
148,32245.290000000005,140823.9756
149,32237.700000000004,247292.46600000001
150,32236.270000000004,221316.6464
151,32240.120000000003,152525.0768
152,32243.970000000005,149172.3303
153,32245.290000000005,182918.736
154,32250.68,315323.694
155,32250.68,165416.6696
156,32256.290000000005,102897.5651
157,32252.220000000005,165453.8886
158,32250.9,154071.345
159,32253.760000000002,106965.1968
160,32253.760000000002,246770.5856
161,32254.530000000002,147197.946
162,32259.700000000004,372218.284
163,32262.890000000003,126382.53910000001
164,32262.780000000002,138788.6136
165,32263.990000000005,334900.21619999997
166,32263.990000000005,376931.39590000006
167,32259.700000000004,313681.592
168,32250.570000000003,270318.41400000005
169,32248.370000000003,138814.57450000002
170,32241.000000000004,146696.55
171,32244.850000000002,145863.976
172,32244.850000000002,117254.0
173,32252.11,202338.01009999998
174,32252.000000000004,111210.76000000001
175,32247.93,187477.73849999998
176,32246.06,208133.65999999997
177,32245.070000000003,109369.4147
178,32239.9,154780.829
179,32239.68,118231.69919999999
180,32236.820000000003,117312.71860000001
181,32236.710000000003,189200.1816
182,32236.38,117662.78699999998
183,32236.270000000004,160126.34480000002
184,32230.000000000004,112834.3
185,32222.300000000003,111020.47
186,32222.300000000003,102203.277
187,32225.820000000003,461503.0386
188,32225.600000000002,178500.528
189,32223.730000000003,106601.95769999998
190,32224.940000000006,165782.6686
191,32224.940000000006,172256.95200000002
192,32224.940000000006,107279.75480000001
193,32227.030000000002,114435.2538
194,32240.890000000003,149539.1098
195,32240.890000000003,292717.97130000003
196,32240.230000000003,168118.14479999998
197,32239.350000000002,272481.12450000003
198,32238.800000000003,188919.368
199,32241.66,122782.10339999999
200,32240.010000000002,151557.3561
201,32246.390000000003,237069.5963
202,32247.490000000005,131921.55000000002
203,32249.690000000006,196136.75100000002
204,32249.690000000006,156674.85760000002
205,32251.890000000003,139826.6031
206,32249.140000000003,234539.2
207,32248.15,112604.6765
208,32253.760000000002,101159.52
209,32266.63,666745.909
210,32265.31,694965.4453
211,32268.390000000003,164040.7608
212,32267.840000000004,184073.36000000002
213,32266.190000000006,120147.55840000001
214,32263.000000000004,221060.21
215,32264.540000000005,373359.3906
216,32262.010000000002,184802.6591
217,32264.760000000002,184114.4532
