,price,amount
372,28096.895999999997,122192.23
373,28092.0,117050.0
374,28091.712,499008.29660000006
375,28090.656,108470.89769999999
376,28090.464,180013.05680000002
377,28089.695999999996,216583.2602
378,28089.695999999996,880904.5706
379,28092.48,102274.185
380,28091.327999999998,157545.5312
381,28086.336,366380.4018
382,28076.928,387841.8148
383,28081.055999999997,251062.1913
384,28086.144,107166.1932
385,28088.064000000002,129673.22880000001
386,28085.375999999997,130626.25399999999
387,28076.544,196740.53280000002
388,28071.744,113485.8734
389,28070.496,128890.36080000001
390,28070.592,194535.0506
391,28063.68,228075.86599999998
392,28067.904,127972.0998
393,28063.487999999998,495495.95999999996
394,28067.712,139461.444
395,28058.592,188518.665
396,28058.592,153474.6527
397,28058.208,210758.0603
398,28052.255999999998,188329.9895
399,28052.255999999998,301327.98319999996
400,28052.255999999998,143387.93769999998
401,28044.96,114224.785
402,28043.712,185964.8652
403,28043.712,100431.5436
404,28050.048,312319.7532
405,28052.255999999998,133686.5325
406,28049.375999999997,177266.2127
407,28049.375999999997,166981.4415
408,28052.255999999998,129069.59869999999
409,28052.928,119809.37999999999
410,28061.375999999997,107130.14899999999
411,28053.792,135505.6599
412,28057.152,162059.279
413,28057.152,161650.1122
414,28058.976,109166.95349999999
415,28063.296,121666.08119999999
416,28064.64,118719.274
417,28065.215999999997,237765.00179999997
418,28065.311999999998,155937.8898
419,28065.408,797700.7528
420,28061.952,149371.432
421,28071.456,131994.3254
422,28070.879999999997,112137.3175
423,28069.824,115495.63
424,28068.575999999997,116016.7808
425,28063.104,300801.396
426,28060.8,100375.82
427,28059.167999999998,144913.9114
428,28053.311999999998,107040.91859999999
429,28060.224000000002,114316.18340000001
430,28060.8,202417.75
431,28061.28,158137.005
432,28051.392,104082.3524
433,28051.392,141075.1256
434,28051.392,204541.4
435,28046.784,469549.9088
436,28048.8,811194.6699999999
437,28049.28,205986.9
438,28049.664,373937.0832
439,28051.104,139612.68219999998
440,28051.2,149460.30000000002
441,28053.792,183167.8836
442,28035.072,190434.0672
443,28035.072,114242.9184
444,28035.072,102620.0448
445,28025.088,102641.8848
446,28025.28,165787.04700000002
447,28025.952,437963.8874
448,28022.784,228823.5456
449,28022.879999999997,102721.3695
450,28022.976,129372.73920000001
451,28023.167999999998,111479.66519999999
452,28033.824,359913.4175
453,28036.8,105634.485
454,28028.064000000002,102010.47460000002
455,28030.656,1596959.0298
456,28030.752,188419.21110000001
457,28031.52,668756.1485
458,28033.344,104628.6162
459,28033.92,144316.284
460,28034.112,139498.9094
461,28034.496,179508.3822
462,28034.208,123292.11060000001
463,28015.007999999998,429154.9038
464,28018.559999999998,256399.01
465,28017.695999999996,119658.90999999999
466,28010.976,179445.315
467,28011.072,131972.9986
468,28010.399999999998,108715.365
469,28010.399999999998,787442.37
470,28008.095999999998,116904.62569999999
471,28008.384000000002,175052.40000000002
472,28007.904,150600.8338
473,28004.832,199826.145
