time,side,order_type,time_in_force,original_quantity,price,average_price,order_status,last_fill_quantity,accumulated_fill_quantity
1700283132077,BUY,LIMIT,IOC,0.012,37200.7,36829.5,FILLED,0.006,0.012
1700283132077,BUY,LIMIT,IOC,0.012,37200.7,36829.5,FILLED,0.006,0.012
1700289979299,SELL,LIMIT,IOC,0.012,36371.2,36720.5,FILLED,0.001,0.012
1700289979299,SELL,LIMIT,IOC,0.012,36371.2,36720.5,FILLED,0.001,0.012
1700290777710,SELL,LIMIT,IOC,0.370,36295.2,36659.5,FILLED,0.014,0.370
1700290777710,SELL,LIMIT,IOC,0.370,36295.2,36659.5,FILLED,0.014,0.370
1700323922578,BUY,LIMIT,IOC,0.003,37567.5,37294.4,FILLED,0.001,0.003
1700323922578,BUY,LIMIT,IOC,0.003,37567.5,37294.4,FILLED,0.001,0.003
1700323924570,BUY,LIMIT,IOC,0.017,37597.6,37256.3,FILLED,0.016,0.017
1700323924570,BUY,LIMIT,IOC,0.017,37597.6,37256.3,FILLED,0.016,0.017
1700323933887,BUY,LIMIT,IOC,0.443,37615.7,37274.5,FILLED,0.002,0.443
1700323933887,BUY,LIMIT,IOC,0.443,37615.7,37274.5,FILLED,0.002,0.443
1700323937074,BUY,LIMIT,IOC,0.005,37620.3,37272.1,FILLED,0.001,0.005
1700323937074,BUY,LIMIT,IOC,0.005,37620.3,37272.1,FILLED,0.001,0.005
1700323973305,BUY,LIMIT,IOC,0.028,37630.6,37279.9,FILLED,0.024,0.028
1700323973305,BUY,LIMIT,IOC,0.028,37630.6,37279.9,FILLED,0.024,0.028
1700346166216,SELL,LIMIT,IOC,1.346,36489.0,36837.6,FILLED,0.194,1.346
1700346166216,SELL,LIMIT,IOC,1.346,36489.0,36837.6,FILLED,0.194,1.346
