time,side,order_type,time_in_force,original_quantity,price,average_price,order_status,last_fill_quantity,accumulated_fill_quantity
1692230423465,SELL,LIMIT,IOC,0.211,28436.7,29017.2,FILLED,0.075,0.211
1692230423465,SELL,LIMIT,IOC,0.211,28436.7,29017.2,FILLED,0.075,0.211
1692230537834,SELL,LIMIT,IOC,0.040,28422.0,29004.1,FILLED,0.002,0.040
1692230537834,SELL,LIMIT,IOC,0.040,28422.0,29004.1,FILLED,0.002,0.040
1692230561803,SELL,LIMIT,IOC,0.025,28401.5,28978.5,FILLED,0.025,0.025
1692230561803,SELL,LIMIT,IOC,0.025,28401.5,28978.5,FILLED,0.025,0.025
1692232672229,SELL,LIMIT,IOC,0.016,28399.0,28959.5,FILLED,0.016,0.016
1692232672229,SELL,LIMIT,IOC,0.016,28399.0,28959.5,FILLED,0.016,0.016
1692232676440,SELL,LIMIT,IOC,0.057,28382.8,28954.7,FILLED,0.011,0.057
1692232676440,SELL,LIMIT,IOC,0.057,28382.8,28954.7,FILLED,0.011,0.057
1692232679896,SELL,LIMIT,IOC,0.118,28381.7,28920.1,FILLED,0.099,0.118
1692232679896,SELL,LIMIT,IOC,0.118,28381.7,28920.1,FILLED,0.099,0.118
1692232680957,SELL,LIMIT,IOC,0.001,28378.8,28918.7,FILLED,0.001,0.001
1692232680957,SELL,LIMIT,IOC,0.001,28378.8,28918.7,FILLED,0.001,0.001
1692232682159,SELL,LIMIT,IOC,0.004,28371.6,28906.1,FILLED,0.002,0.004
1692232682159,SELL,LIMIT,IOC,0.004,28371.6,28906.1,FILLED,0.002,0.004
1692232687713,SELL,LIMIT,IOC,0.004,28347.3,28906.3,FILLED,0.004,0.004
1692232687713,SELL,LIMIT,IOC,0.004,28347.3,28906.3,FILLED,0.004,0.004
1692232692063,SELL,LIMIT,IOC,0.053,28341.4,28909.2,FILLED,0.053,0.053
1692232692063,SELL,LIMIT,IOC,0.053,28341.4,28909.2,FILLED,0.053,0.053
1692232708375,SELL,LIMIT,IOC,0.020,28327.7,28868.4,FILLED,0.014,0.020
1692232708375,SELL,LIMIT,IOC,0.020,28327.7,28868.4,FILLED,0.014,0.020
1692232710104,SELL,LIMIT,IOC,0.126,28321.2,28860.1,FILLED,0.075,0.126
1692232710104,SELL,LIMIT,IOC,0.126,28321.2,28860.1,FILLED,0.075,0.126
1692232711460,SELL,LIMIT,IOC,0.016,28312.0,28881.9,FILLED,0.016,0.016
1692232711460,SELL,LIMIT,IOC,0.016,28312.0,28881.9,FILLED,0.016,0.016
1692232722102,SELL,LIMIT,IOC,0.041,28309.9,28861.7,FILLED,0.007,0.041
1692232722102,SELL,LIMIT,IOC,0.041,28309.9,28861.7,FILLED,0.007,0.041
1692232724220,SELL,LIMIT,IOC,0.002,28283.4,28826.3,FILLED,0.002,0.002
1692232724220,SELL,LIMIT,IOC,0.002,28283.4,28826.3,FILLED,0.002,0.002
1692233068452,SELL,LIMIT,IOC,0.048,28273.1,28848.1,FILLED,0.048,0.048
1692233068452,SELL,LIMIT,IOC,0.048,28273.1,28848.1,FILLED,0.048,0.048
1692233070075,SELL,LIMIT,IOC,0.006,28272.3,28845.4,FILLED,0.003,0.006
1692233070075,SELL,LIMIT,IOC,0.006,28272.3,28845.4,FILLED,0.003,0.006
1692233072717,SELL,LIMIT,IOC,0.014,28257.2,28809.4,FILLED,0.014,0.014
1692233072717,SELL,LIMIT,IOC,0.014,28257.2,28809.4,FILLED,0.014,0.014
1692233073797,SELL,LIMIT,IOC,0.188,28236.1,28780.5,FILLED,0.188,0.188
1692233073797,SELL,LIMIT,IOC,0.188,28236.1,28780.5,FILLED,0.188,0.188
1692233075390,SELL,LIMIT,IOC,0.005,28223.5,28771.8,FILLED,0.005,0.005
1692233075390,SELL,LIMIT,IOC,0.005,28223.5,28771.8,FILLED,0.005,0.005
1692233076843,SELL,LIMIT,IOC,0.032,28211.9,28750.0,FILLED,0.032,0.032
1692233076843,SELL,LIMIT,IOC,0.032,28211.9,28750.0,FILLED,0.032,0.032
1692233079010,SELL,LIMIT,IOC,0.094,28197.7,28668.4,FILLED,0.094,0.094
1692233079010,SELL,LIMIT,IOC,0.094,28197.7,28668.4,FILLED,0.094,0.094
1692233081071,SELL,LIMIT,IOC,0.204,28136.6,28666.0,FILLED,0.204,0.204
1692233081071,SELL,LIMIT,IOC,0.204,28136.6,28666.0,FILLED,0.204,0.204
1692233082147,SELL,LIMIT,IOC,0.001,28133.9,28616.7,FILLED,0.001,0.001
1692233082147,SELL,LIMIT,IOC,0.001,28133.9,28616.7,FILLED,0.001,0.001
1692233083167,SELL,LIMIT,IOC,0.008,28119.5,28603.6,FILLED,0.008,0.008
1692233083167,SELL,LIMIT,IOC,0.008,28119.5,28603.6,FILLED,0.008,0.008
1692233110692,SELL,LIMIT,IOC,0.016,28108.8,28602.2,FILLED,0.016,0.016
1692233110692,SELL,LIMIT,IOC,0.016,28108.8,28602.2,FILLED,0.016,0.016
1692233112370,SELL,LIMIT,IOC,0.016,28086.4,28598.8,FILLED,0.002,0.016
1692233112370,SELL,LIMIT,IOC,0.016,28086.4,28598.8,FILLED,0.002,0.016
1692233113675,SELL,LIMIT,IOC,0.079,28083.9,28573.0,FILLED,0.078,0.079
1692233113675,SELL,LIMIT,IOC,0.079,28083.9,28573.0,FILLED,0.078,0.079
1692233125769,SELL,LIMIT,IOC,0.003,28076.1,28592.9,FILLED,0.003,0.003
1692233125769,SELL,LIMIT,IOC,0.003,28076.1,28592.9,FILLED,0.003,0.003
1692242675927,BUY,LIMIT,IOC,0.008,29511.5,28935.3,FILLED,0.008,0.008
1692242675927,BUY,LIMIT,IOC,0.008,29511.5,28935.3,FILLED,0.008,0.008
1692282161056,SELL,LIMIT,IOC,0.033,28065.6,28631.4,FILLED,0.033,0.033
1692282161056,SELL,LIMIT,IOC,0.033,28065.6,28631.4,FILLED,0.033,0.033
1692283432206,SELL,LIMIT,IOC,0.014,28052.3,28619.1,FILLED,0.014,0.014
1692283432206,SELL,LIMIT,IOC,0.014,28052.3,28619.1,FILLED,0.014,0.014
1692284531669,SELL,LIMIT,IOC,0.010,28045.1,28593.4,FILLED,0.009,0.010
1692284531669,SELL,LIMIT,IOC,0.010,28045.1,28593.4,FILLED,0.009,0.010
1692284533066,SELL,LIMIT,IOC,0.071,28028.2,28577.3,FILLED,0.043,0.071
1692284533066,SELL,LIMIT,IOC,0.071,28028.2,28577.3,FILLED,0.043,0.071
1692284534583,SELL,LIMIT,IOC,0.053,28006.9,28563.9,FILLED,0.018,0.053
1692284534583,SELL,LIMIT,IOC,0.053,28006.9,28563.9,FILLED,0.018,0.053
1692284536036,SELL,LIMIT,IOC,0.001,28003.1,28563.7,FILLED,0.001,0.001
1692284536036,SELL,LIMIT,IOC,0.001,28003.1,28563.7,FILLED,0.001,0.001
1692286558723,SELL,LIMIT,IOC,0.004,28018.0,28562.8,FILLED,0.004,0.004
1692286558723,SELL,LIMIT,IOC,0.004,28018.0,28562.8,FILLED,0.004,0.004
1692286583195,SELL,LIMIT,IOC,0.003,27992.9,28550.5,FILLED,0.002,0.003
1692286583195,SELL,LIMIT,IOC,0.003,27992.9,28550.5,FILLED,0.002,0.003
