time,side,order_type,time_in_force,original_quantity,price,average_price,order_status,last_fill_quantity,accumulated_fill_quantity
1703808003274,SELL,LIMIT,IOC,0.400,42432.41,42605.30,FILLED,0.400,0.400
1703808003274,SELL,LIMIT,IOC,0.400,42432.41,42605.30,FILLED,0.400,0.400
1703808072376,SELL,LIMIT,IOC,0.100,42630.76,42637.40,FILLED,0.100,0.100
1703808072376,SELL,LIMIT,IOC,0.100,42630.76,42637.40,FILLED,0.100,0.100
1703808144412,SELL,LIMIT,IOC,0.272,42496.90,42657.50,FILLED,0.025,0.272
1703808144412,SELL,LIMIT,IOC,0.272,42496.90,42657.50,FILLED,0.025,0.272
1703809187581,SELL,LIMIT,IOC,0.001,42523.63,42694.40,FILLED,0.001,0.001
1703809187581,SELL,LIMIT,IOC,0.001,42523.63,42694.40,FILLED,0.001,0.001
1703809306053,SELL,LIMIT,IOC,0.053,42492.65,42661.60,FILLED,0.053,0.053
1703809306053,SELL,LIMIT,IOC,0.053,42492.65,42661.60,FILLED,0.053,0.053
1703809361865,SELL,LIMIT,IOC,0.018,42491.11,42648.60,FILLED,0.018,0.018
1703809361865,SELL,LIMIT,IOC,0.018,42491.11,42648.60,FILLED,0.018,0.018
1703809453285,SELL,LIMIT,IOC,0.013,42441.60,42618.00,FILLED,0.013,0.013
1703809453285,SELL,LIMIT,IOC,0.013,42441.60,42618.00,FILLED,0.013,0.013
1703809887175,SELL,LIMIT,IOC,0.017,42433.09,42603.40,FILLED,0.017,0.017
1703809887175,SELL,LIMIT,IOC,0.017,42433.09,42603.40,FILLED,0.017,0.017
1703809888538,SELL,LIMIT,IOC,1.097,42427.10,42596.90,FILLED,1.097,1.097
1703809888538,SELL,LIMIT,IOC,1.097,42427.10,42596.90,FILLED,1.097,1.097
1703809889984,SELL,LIMIT,IOC,0.111,42426.52,42596.40,FILLED,0.111,0.111
1703809889984,SELL,LIMIT,IOC,0.111,42426.52,42596.40,FILLED,0.111,0.111
1703809893139,SELL,LIMIT,IOC,0.011,42425.22,42593.40,FILLED,0.011,0.011
1703809893139,SELL,LIMIT,IOC,0.011,42425.22,42593.40,FILLED,0.011,0.011
1703809895702,SELL,LIMIT,IOC,0.035,42422.08,42589.90,FILLED,0.035,0.035
1703809895702,SELL,LIMIT,IOC,0.035,42422.08,42589.90,FILLED,0.035,0.035
1703809897802,SELL,LIMIT,IOC,0.006,42417.42,42588.80,FILLED,0.006,0.006
1703809897802,SELL,LIMIT,IOC,0.006,42417.42,42588.80,FILLED,0.006,0.006
1703809912993,SELL,LIMIT,IOC,0.005,42425.32,42616.20,FILLED,0.003,0.005
1703809912993,SELL,LIMIT,IOC,0.005,42425.32,42616.20,FILLED,0.003,0.005
1703809963923,SELL,LIMIT,IOC,0.454,42415.10,42580.80,FILLED,0.024,0.454
1703809963923,SELL,LIMIT,IOC,0.454,42415.10,42580.80,FILLED,0.024,0.454
1703809970063,SELL,LIMIT,IOC,0.066,42405.70,42571.20,FILLED,0.043,0.066
1703809970063,SELL,LIMIT,IOC,0.066,42405.70,42571.20,FILLED,0.043,0.066
1703809974055,SELL,LIMIT,IOC,0.013,42396.66,42561.00,FILLED,0.013,0.013
1703809974055,SELL,LIMIT,IOC,0.013,42396.66,42561.00,FILLED,0.013,0.013
1703809976079,SELL,LIMIT,IOC,0.015,42383.01,42562.80,FILLED,0.015,0.015
1703809976079,SELL,LIMIT,IOC,0.015,42383.01,42562.80,FILLED,0.015,0.015
1703809977156,SELL,LIMIT,IOC,0.045,42390.10,42571.00,FILLED,0.045,0.045
1703809977156,SELL,LIMIT,IOC,0.045,42390.10,42571.00,FILLED,0.045,0.045
1703809994074,SELL,LIMIT,IOC,0.004,42384.41,42554.30,FILLED,0.004,0.004
1703809994074,SELL,LIMIT,IOC,0.004,42384.41,42554.30,FILLED,0.004,0.004
1703809995106,SELL,LIMIT,IOC,0.007,42382.96,42553.00,FILLED,0.007,0.007
1703809995106,SELL,LIMIT,IOC,0.007,42382.96,42553.00,FILLED,0.007,0.007
1703809998448,SELL,LIMIT,IOC,0.007,42381.06,42554.70,FILLED,0.007,0.007
1703809998448,SELL,LIMIT,IOC,0.007,42381.06,42554.70,FILLED,0.007,0.007
