time,side,order_type,time_in_force,original_quantity,price,average_price,order_status,last_fill_quantity,accumulated_fill_quantity
1693098324144,SELL,LIMIT,IOC,0.010,25873.41,25977.10,FILLED,0.010,0.010
1693098324144,SELL,LIMIT,IOC,0.010,25873.41,25977.10,FILLED,0.010,0.010
1693098431015,SELL,LIMIT,IOC,0.091,25872.59,25973.10,FILLED,0.091,0.091
1693098431015,SELL,LIMIT,IOC,0.091,25872.59,25973.10,FILLED,0.091,0.091
1693098432612,SELL,LIMIT,IOC,0.046,25870.09,25972.30,FILLED,0.046,0.046
1693098432612,SELL,LIMIT,IOC,0.046,25870.09,25972.30,FILLED,0.046,0.046
1693098437135,SELL,LIMIT,IOC,0.510,25869.04,25971.10,FILLED,0.510,0.510
1693098437135,SELL,LIMIT,IOC,0.510,25869.04,25971.10,FILLED,0.510,0.510
1693098439047,SELL,LIMIT,IOC,0.001,25867.70,25971.10,FILLED,0.001,0.001
1693098439047,SELL,LIMIT,IOC,0.001,25867.70,25971.10,FILLED,0.001,0.001
1693099700210,SELL,LIMIT,IOC,0.070,25887.83,25988.30,FILLED,0.070,0.070
1693099700210,SELL,LIMIT,IOC,0.070,25887.83,25988.30,FILLED,0.070,0.070
1693100288165,SELL,LIMIT,IOC,0.033,25865.64,25958.37,FILLED,0.007,0.033
1693100288165,SELL,LIMIT,IOC,0.033,25865.64,25958.37,FILLED,0.007,0.033
1693100289177,SELL,LIMIT,IOC,0.027,25859.54,25961.90,FILLED,0.027,0.027
1693100289177,SELL,LIMIT,IOC,0.027,25859.54,25961.90,FILLED,0.027,0.027
1693100300352,SELL,LIMIT,IOC,0.015,25857.61,25956.50,FILLED,0.015,0.015
1693100300352,SELL,LIMIT,IOC,0.015,25857.61,25956.50,FILLED,0.015,0.015
1693100442326,SELL,LIMIT,IOC,0.079,25856.47,25956.80,FILLED,0.079,0.079
1693100442326,SELL,LIMIT,IOC,0.079,25856.47,25956.80,FILLED,0.079,0.079
1693100443483,SELL,LIMIT,IOC,0.066,25855.99,25956.80,FILLED,0.066,0.066
1693100443483,SELL,LIMIT,IOC,0.066,25855.99,25956.80,FILLED,0.066,0.066
1693100506731,SELL,LIMIT,IOC,1.798,25854.89,25958.32,FILLED,0.863,1.798
1693100506731,SELL,LIMIT,IOC,1.798,25854.89,25958.32,FILLED,0.863,1.798
1693100508177,SELL,LIMIT,IOC,0.016,25854.40,25957.40,FILLED,0.016,0.016
1693100508177,SELL,LIMIT,IOC,0.016,25854.40,25957.40,FILLED,0.016,0.016
1693102555188,BUY,LIMIT,IOC,0.014,26100.55,25996.10,FILLED,0.014,0.014
1693102555188,BUY,LIMIT,IOC,0.014,26100.55,25996.10,FILLED,0.014,0.014
1693116956511,SELL,LIMIT,IOC,0.033,26024.70,26031.90,FILLED,0.033,0.033
1693116956511,SELL,LIMIT,IOC,0.033,26024.70,26031.90,FILLED,0.033,0.033
