time,side,order_type,time_in_force,original_quantity,price,average_price,order_status,last_fill_quantity,accumulated_fill_quantity
1695082637204,SELL,LIMIT,IOC,0.076,26608.96,26715.60,FILLED,0.076,0.076
1695082637204,SELL,LIMIT,IOC,0.076,26608.96,26715.60,FILLED,0.076,0.076
1695082654718,SELL,LIMIT,IOC,0.115,26608.18,26712.80,FILLED,0.115,0.115
1695082654718,SELL,LIMIT,IOC,0.115,26608.18,26712.80,FILLED,0.115,0.115
1695082664121,SELL,LIMIT,IOC,0.036,26606.70,26712.10,FILLED,0.036,0.036
1695082664121,SELL,LIMIT,IOC,0.036,26606.70,26712.10,FILLED,0.036,0.036
1695082670868,SELL,LIMIT,IOC,0.010,26606.45,26712.10,FILLED,0.010,0.010
1695082670868,SELL,LIMIT,IOC,0.010,26606.45,26712.10,FILLED,0.010,0.010
1695082674993,SELL,LIMIT,IOC,0.067,26605.88,26710.50,FILLED,0.062,0.067
1695082674993,SELL,LIMIT,IOC,0.067,26605.88,26710.50,FILLED,0.062,0.067
1695082697188,SELL,LIMIT,IOC,0.080,26603.35,26710.00,FILLED,0.080,0.080
1695082697188,SELL,LIMIT,IOC,0.080,26603.35,26710.00,FILLED,0.080,0.080
1695082699279,SELL,LIMIT,IOC,0.022,26602.94,26708.40,FILLED,0.022,0.022
1695082699279,SELL,LIMIT,IOC,0.022,26602.94,26708.40,FILLED,0.022,0.022
1695082704165,SELL,LIMIT,IOC,0.007,26611.84,26707.00,FILLED,0.007,0.007
1695082704165,SELL,LIMIT,IOC,0.007,26611.84,26707.00,FILLED,0.007,0.007
1695082714328,SELL,LIMIT,IOC,0.006,26600.16,26706.60,FILLED,0.006,0.006
1695082714328,SELL,LIMIT,IOC,0.006,26600.16,26706.60,FILLED,0.006,0.006
1695082719360,SELL,LIMIT,IOC,0.017,26599.95,26707.90,FILLED,0.017,0.017
1695082719360,SELL,LIMIT,IOC,0.017,26599.95,26707.90,FILLED,0.017,0.017
1695082839538,SELL,LIMIT,IOC,0.302,26598.98,26700.00,FILLED,0.057,0.302
1695082839538,SELL,LIMIT,IOC,0.302,26598.98,26700.00,FILLED,0.057,0.302
1695082840682,SELL,LIMIT,IOC,0.011,26594.91,26700.00,FILLED,0.011,0.011
1695082840682,SELL,LIMIT,IOC,0.011,26594.91,26700.00,FILLED,0.011,0.011
1695082842843,SELL,LIMIT,IOC,0.207,26593.21,26687.00,FILLED,0.207,0.207
1695082842843,SELL,LIMIT,IOC,0.207,26593.21,26687.00,FILLED,0.207,0.207
1695082843860,SELL,LIMIT,IOC,0.085,26591.12,26686.40,FILLED,0.085,0.085
1695082843860,SELL,LIMIT,IOC,0.085,26591.12,26686.40,FILLED,0.085,0.085
1695082844870,SELL,LIMIT,IOC,0.001,26585.53,26690.10,FILLED,0.001,0.001
1695082844870,SELL,LIMIT,IOC,0.001,26585.53,26690.10,FILLED,0.001,0.001
1695082865077,SELL,LIMIT,IOC,0.036,26578.83,26683.10,FILLED,0.016,0.036
