time,side,order_type,time_in_force,original_quantity,price,average_price,order_status,last_fill_quantity,accumulated_fill_quantity
1697587542680,SELL,LIMIT,IOC,0.015,28280.68,28395.10,FILLED,0.015,0.015
1697587542680,SELL,LIMIT,IOC,0.015,28280.68,28395.10,FILLED,0.015,0.015
1697587544025,SELL,LIMIT,IOC,0.014,28281.62,28392.00,FILLED,0.014,0.014
1697587544025,SELL,LIMIT,IOC,0.014,28281.62,28392.00,FILLED,0.014,0.014
1697587545546,BUY,LIMIT,IOC,0.046,28486.74,28388.10,FILLED,0.046,0.046
1697587545546,BUY,LIMIT,IOC,0.046,28486.74,28388.10,FILLED,0.046,0.046
1697587548530,BUY,LIMIT,IOC,0.022,28490.44,28388.10,FILLED,0.022,0.022
1697587548530,BUY,LIMIT,IOC,0.022,28490.44,28388.10,FILLED,0.022,0.022
1697587862820,BUY,LIMIT,IOC,0.002,28473.62,28394.90,FILLED,0.002,0.002
1697587862820,BUY,LIMIT,IOC,0.002,28473.62,28394.90,FILLED,0.002,0.002
1697587863937,BUY,LIMIT,IOC,0.005,28507.83,28394.90,FILLED,0.005,0.005
1697587863937,BUY,LIMIT,IOC,0.005,28507.83,28394.90,FILLED,0.005,0.005
1697587931209,SELL,LIMIT,IOC,0.064,28266.54,28368.90,FILLED,0.064,0.064
1697587931209,SELL,LIMIT,IOC,0.064,28266.54,28368.90,FILLED,0.064,0.064
1697587932544,SELL,LIMIT,IOC,2.441,28254.62,28368.90,FILLED,2.441,2.441
1697587932544,SELL,LIMIT,IOC,2.441,28254.62,28368.90,FILLED,2.441,2.441
1697587935095,BUY,LIMIT,IOC,0.070,28449.71,28369.00,FILLED,0.070,0.070
1697587935095,BUY,LIMIT,IOC,0.070,28449.71,28369.00,FILLED,0.070,0.070
1697588086166,SELL,LIMIT,IOC,0.031,28246.79,28355.20,FILLED,0.031,0.031
1697588086166,SELL,LIMIT,IOC,0.031,28246.79,28355.20,FILLED,0.031,0.031
1697589010151,BUY,LIMIT,IOC,0.016,28514.54,28408.20,FILLED,0.016,0.016
1697589010151,BUY,LIMIT,IOC,0.016,28514.54,28408.20,FILLED,0.016,0.016
1697589013874,BUY,LIMIT,IOC,0.005,28521.73,28407.00,FILLED,0.005,0.005
1697589013874,BUY,LIMIT,IOC,0.005,28521.73,28407.00,FILLED,0.005,0.005
1697589035326,BUY,LIMIT,IOC,0.016,28509.68,28396.10,FILLED,0.014,0.016
1697589035326,BUY,LIMIT,IOC,0.016,28509.68,28396.10,FILLED,0.014,0.016
1697589044783,SELL,LIMIT,IOC,0.001,28281.19,28394.20,FILLED,0.001,0.001
1697589044783,SELL,LIMIT,IOC,0.001,28281.19,28394.20,FILLED,0.001,0.001
1697589045873,SELL,LIMIT,IOC,0.049,28310.35,28393.40,FILLED,0.001,0.049
1697589045873,SELL,LIMIT,IOC,0.049,28310.35,28393.40,FILLED,0.001,0.049
1697589157422,BUY,LIMIT,IOC,0.211,28500.71,28385.70,FILLED,0.211,0.211
1697589157422,BUY,LIMIT,IOC,0.211,28500.71,28385.70,FILLED,0.211,0.211
1697589187104,BUY,LIMIT,IOC,0.007,28464.88,28386.70,FILLED,0.005,0.007
1697589187104,BUY,LIMIT,IOC,0.007,28464.88,28386.70,FILLED,0.005,0.007
1697589197355,SELL,LIMIT,IOC,0.059,28272.84,28378.80,FILLED,0.059,0.059
1697589197355,SELL,LIMIT,IOC,0.059,28272.84,28378.80,FILLED,0.059,0.059
1697589243126,SELL,LIMIT,IOC,0.005,28266.66,28378.80,FILLED,0.005,0.005
1697589243126,SELL,LIMIT,IOC,0.005,28266.66,28378.80,FILLED,0.005,0.005
1697589284310,SELL,LIMIT,IOC,0.175,28263.87,28372.50,FILLED,0.175,0.175
1697589284310,SELL,LIMIT,IOC,0.175,28263.87,28372.50,FILLED,0.175,0.175
1697589338079,SELL,LIMIT,IOC,0.003,28255.07,28365.00,FILLED,0.003,0.003
1697589338079,SELL,LIMIT,IOC,0.003,28255.07,28365.00,FILLED,0.003,0.003
1697589339145,SELL,LIMIT,IOC,0.073,28292.11,28362.50,FILLED,0.073,0.073
1697589339145,SELL,LIMIT,IOC,0.073,28292.11,28362.50,FILLED,0.073,0.073
1697589344067,SELL,LIMIT,IOC,0.169,28249.70,28361.00,FILLED,0.098,0.169
1697589344067,SELL,LIMIT,IOC,0.169,28249.70,28361.00,FILLED,0.098,0.169
1697589346991,SELL,LIMIT,IOC,0.010,28257.01,28361.00,FILLED,0.010,0.010
1697589346991,SELL,LIMIT,IOC,0.010,28257.01,28361.00,FILLED,0.010,0.010
1697589360364,BUY,LIMIT,IOC,0.015,28472.07,28359.50,FILLED,0.015,0.015
1697589360364,BUY,LIMIT,IOC,0.015,28472.07,28359.50,FILLED,0.015,0.015
