time,side,order_type,time_in_force,original_quantity,price,average_price,order_status,last_fill_quantity,accumulated_fill_quantity
1705104184936,BUY,LIMIT,IOC,0.014,42877.30,42877.30,FILLED,0.014,0.014
1705104184936,BUY,LIMIT,IOC,0.014,42877.30,42877.30,FILLED,0.014,0.014
1705104194795,BUY,LIMIT,IOC,0.003,43102.91,42928.10,FILLED,0.003,0.003
1705104194795,BUY,LIMIT,IOC,0.003,43102.91,42928.10,FILLED,0.003,0.003
1705104201500,BUY,LIMIT,IOC,0.055,43104.42,42933.60,FILLED,0.055,0.055
1705104201500,BUY,LIMIT,IOC,0.055,43104.42,42933.60,FILLED,0.055,0.055
1705104203048,BUY,LIMIT,IOC,0.053,43105.19,42943.60,FILLED,0.053,0.053
1705104203048,BUY,LIMIT,IOC,0.053,43105.19,42943.60,FILLED,0.053,0.053
1705104204105,BUY,LIMIT,IOC,0.050,43107.88,42938.80,FILLED,0.011,0.050
1705104204105,BUY,LIMIT,IOC,0.050,43107.88,42938.80,FILLED,0.011,0.050
1705104508061,BUY,LIMIT,IOC,0.065,43114.70,42951.00,FILLED,0.065,0.065
1705104508061,BUY,LIMIT,IOC,0.065,43114.70,42951.00,FILLED,0.065,0.065
1705104509235,BUY,LIMIT,IOC,0.003,43116.31,42963.00,FILLED,0.003,0.003
1705104509235,BUY,LIMIT,IOC,0.003,43116.31,42963.00,FILLED,0.003,0.003
1705104510735,BUY,LIMIT,IOC,0.028,43126.48,42967.90,FILLED,0.028,0.028
1705104510735,BUY,LIMIT,IOC,0.028,43126.48,42967.90,FILLED,0.028,0.028
1705104511908,BUY,LIMIT,IOC,0.003,43130.31,42983.80,FILLED,0.003,0.003
1705104511908,BUY,LIMIT,IOC,0.003,43130.31,42983.80,FILLED,0.003,0.003
1705104512959,BUY,LIMIT,IOC,0.053,43141.22,42997.00,FILLED,0.053,0.053
1705104512959,BUY,LIMIT,IOC,0.053,43141.22,42997.00,FILLED,0.053,0.053
1705104514179,BUY,LIMIT,IOC,0.088,43158.81,42982.70,FILLED,0.088,0.088
1705104514179,BUY,LIMIT,IOC,0.088,43158.81,42982.70,FILLED,0.088,0.088
1705104542154,BUY,LIMIT,IOC,0.340,43151.36,42980.00,FILLED,0.340,0.340
1705104542154,BUY,LIMIT,IOC,0.340,43151.36,42980.00,FILLED,0.340,0.340
1705105272623,SELL,LIMIT,IOC,0.065,42688.43,42860.80,FILLED,0.027,0.065
1705105272623,SELL,LIMIT,IOC,0.065,42688.43,42860.80,FILLED,0.027,0.065
1705105337878,SELL,LIMIT,IOC,0.018,42640.07,42805.40,FILLED,0.018,0.018
1705105337878,SELL,LIMIT,IOC,0.018,42640.07,42805.40,FILLED,0.018,0.018
1705105339185,SELL,LIMIT,IOC,0.003,42639.67,42805.40,FILLED,0.003,0.003
1705105339185,SELL,LIMIT,IOC,0.003,42639.67,42805.40,FILLED,0.003,0.003
1705105363103,SELL,LIMIT,IOC,0.010,42636.07,42794.20,FILLED,0.010,0.010
1705105363103,SELL,LIMIT,IOC,0.010,42636.07,42794.20,FILLED,0.010,0.010
1705105367425,SELL,LIMIT,IOC,0.024,42623.19,42786.40,FILLED,0.024,0.024
1705105367425,SELL,LIMIT,IOC,0.024,42623.19,42786.40,FILLED,0.024,0.024
1705105380595,SELL,LIMIT,IOC,0.019,42616.40,42781.90,FILLED,0.019,0.019
1705105380595,SELL,LIMIT,IOC,0.019,42616.40,42781.90,FILLED,0.019,0.019
1705105472827,SELL,LIMIT,IOC,0.021,42614.71,42780.00,FILLED,0.005,0.021
1705105472827,SELL,LIMIT,IOC,0.021,42614.71,42780.00,FILLED,0.005,0.021
1705105500709,SELL,LIMIT,IOC,0.009,42611.03,42780.90,FILLED,0.009,0.009
1705105500709,SELL,LIMIT,IOC,0.009,42611.03,42780.90,FILLED,0.009,0.009
1705105512589,SELL,LIMIT,IOC,0.013,42601.50,42776.50,FILLED,0.013,0.013
1705105512589,SELL,LIMIT,IOC,0.013,42601.50,42776.50,FILLED,0.013,0.013
1705107303763,SELL,LIMIT,IOC,0.012,42873.36,42873.36,FILLED,0.012,0.012
1705107303763,SELL,LIMIT,IOC,0.012,42873.36,42873.36,FILLED,0.012,0.012
1705107315238,SELL,LIMIT,IOC,0.015,42758.40,42852.00,FILLED,0.015,0.015
1705107315238,SELL,LIMIT,IOC,0.015,42758.40,42852.00,FILLED,0.015,0.015
1705107510615,SELL,LIMIT,IOC,0.030,42635.77,42802.90,FILLED,0.030,0.030
1705107510615,SELL,LIMIT,IOC,0.030,42635.77,42802.90,FILLED,0.030,0.030
1705107863514,SELL,LIMIT,IOC,0.051,42672.19,42827.40,FILLED,0.024,0.051
1705107863514,SELL,LIMIT,IOC,0.051,42672.19,42827.40,FILLED,0.024,0.051
1705107876376,SELL,LIMIT,IOC,0.001,42667.67,42815.40,FILLED,0.001,0.001
1705107876376,SELL,LIMIT,IOC,0.001,42667.67,42815.40,FILLED,0.001,0.001
1705107910798,SELL,LIMIT,IOC,0.050,42640.41,42795.50,FILLED,0.050,0.050
1705107910798,SELL,LIMIT,IOC,0.050,42640.41,42795.50,FILLED,0.050,0.050
1705108007236,SELL,LIMIT,IOC,0.007,42639.98,42796.80,FILLED,0.007,0.007
1705108007236,SELL,LIMIT,IOC,0.007,42639.98,42796.80,FILLED,0.007,0.007
1705108065950,SELL,LIMIT,IOC,0.036,42623.23,42790.30,FILLED,0.036,0.036
1705108065950,SELL,LIMIT,IOC,0.036,42623.23,42790.30,FILLED,0.036,0.036
1705108069681,SELL,LIMIT,IOC,0.248,42623.84,42790.00,FILLED,0.248,0.248
1705108069681,SELL,LIMIT,IOC,0.248,42623.84,42790.00,FILLED,0.248,0.248
1705108082180,SELL,LIMIT,IOC,0.142,42620.93,42790.00,FILLED,0.142,0.142
1705108082180,SELL,LIMIT,IOC,0.142,42620.93,42790.00,FILLED,0.142,0.142
1705108090451,SELL,LIMIT,IOC,0.003,42617.24,42781.00,FILLED,0.003,0.003
1705108090451,SELL,LIMIT,IOC,0.003,42617.24,42781.00,FILLED,0.003,0.003
1705108101964,SELL,LIMIT,IOC,0.029,42603.09,42772.60,FILLED,0.029,0.029
1705108101964,SELL,LIMIT,IOC,0.029,42603.09,42772.60,FILLED,0.029,0.029
1705108113292,SELL,LIMIT,IOC,0.020,42604.64,42771.10,FILLED,0.020,0.020
1705108113292,SELL,LIMIT,IOC,0.020,42604.64,42771.10,FILLED,0.020,0.020
1705108115701,SELL,LIMIT,IOC,0.926,42609.96,42765.60,FILLED,0.736,0.926
1705108115701,SELL,LIMIT,IOC,0.926,42609.96,42765.60,FILLED,0.736,0.926
1705108117034,SELL,LIMIT,IOC,0.019,42605.27,42767.60,FILLED,0.019,0.019
1705108117034,SELL,LIMIT,IOC,0.019,42605.27,42767.60,FILLED,0.019,0.019
1705108122172,SELL,LIMIT,IOC,0.003,42598.74,42767.90,FILLED,0.003,0.003
1705108122172,SELL,LIMIT,IOC,0.003,42598.74,42767.90,FILLED,0.003,0.003
1705108123316,SELL,LIMIT,IOC,0.003,42597.90,42766.10,FILLED,0.003,0.003
1705108123316,SELL,LIMIT,IOC,0.003,42597.90,42766.10,FILLED,0.003,0.003
1705108151163,SELL,LIMIT,IOC,0.053,42592.67,42735.63,FILLED,0.036,0.053
1705108151163,SELL,LIMIT,IOC,0.053,42592.67,42735.63,FILLED,0.036,0.053
1705108153253,SELL,LIMIT,IOC,0.036,42574.20,42730.40,FILLED,0.036,0.036
1705108153253,SELL,LIMIT,IOC,0.036,42574.20,42730.40,FILLED,0.036,0.036
1705108154493,SELL,LIMIT,IOC,0.024,42571.59,42730.40,FILLED,0.024,0.024
1705108154493,SELL,LIMIT,IOC,0.024,42571.59,42730.40,FILLED,0.024,0.024
1705108156447,SELL,LIMIT,IOC,0.003,42566.67,42718.40,FILLED,0.003,0.003
1705108156447,SELL,LIMIT,IOC,0.003,42566.67,42718.40,FILLED,0.003,0.003
1705108157733,SELL,LIMIT,IOC,0.023,42555.46,42727.60,FILLED,0.023,0.023
1705108157733,SELL,LIMIT,IOC,0.023,42555.46,42727.60,FILLED,0.023,0.023
1705108206765,SELL,LIMIT,IOC,0.089,42553.30,42726.30,FILLED,0.089,0.089
1705108206765,SELL,LIMIT,IOC,0.089,42553.30,42726.30,FILLED,0.089,0.089
1705108213511,SELL,LIMIT,IOC,0.239,42551.15,42717.10,FILLED,0.239,0.239
