time,side,order_type,time_in_force,original_quantity,price,average_price,order_status,last_fill_quantity,accumulated_fill_quantity
1710547253036,BUY,LIMIT,IOC,0.036,69749.39,69546.10,FILLED,0.024,0.036
1710547253036,BUY,LIMIT,IOC,0.036,69749.39,69546.10,FILLED,0.024,0.036
1710547258471,BUY,LIMIT,IOC,0.010,69773.37,69545.70,FILLED,0.004,0.010
1710547258471,BUY,LIMIT,IOC,0.010,69773.37,69545.70,FILLED,0.004,0.010
1710547261139,BUY,LIMIT,IOC,0.001,69760.17,69533.30,FILLED,0.001,0.001
1710547261139,BUY,LIMIT,IOC,0.001,69760.17,69533.30,FILLED,0.001,0.001
1710547325441,BUY,LIMIT,IOC,0.020,69724.84,69489.40,FILLED,0.020,0.020
1710547325441,BUY,LIMIT,IOC,0.020,69724.84,69489.40,FILLED,0.020,0.020
1710547332653,BUY,LIMIT,IOC,0.600,69743.17,69472.63,FILLED,0.049,0.600
1710547332653,BUY,LIMIT,IOC,0.600,69743.17,69472.63,FILLED,0.049,0.600
1710547358244,BUY,LIMIT,IOC,0.019,69782.31,69510.40,FILLED,0.019,0.019
1710547358244,BUY,LIMIT,IOC,0.019,69782.31,69510.40,FILLED,0.019,0.019
1710547360242,SELL,LIMIT,IOC,0.018,69229.11,69513.00,FILLED,0.018,0.018
1710547360242,SELL,LIMIT,IOC,0.018,69229.11,69513.00,FILLED,0.018,0.018
1710547364261,BUY,LIMIT,IOC,0.084,69821.79,69571.90,FILLED,0.084,0.084
1710547364261,BUY,LIMIT,IOC,0.084,69821.79,69571.90,FILLED,0.084,0.084
1710547516302,BUY,LIMIT,IOC,0.005,69939.08,69671.96,FILLED,0.003,0.005
1710547516302,BUY,LIMIT,IOC,0.005,69939.08,69671.96,FILLED,0.003,0.005
1710547519570,BUY,LIMIT,IOC,0.007,69958.50,69690.00,FILLED,0.007,0.007
1710547519570,BUY,LIMIT,IOC,0.007,69958.50,69690.00,FILLED,0.007,0.007
1710547562478,BUY,LIMIT,IOC,0.009,69975.12,69714.80,FILLED,0.002,0.009
1710547562478,BUY,LIMIT,IOC,0.009,69975.12,69714.80,FILLED,0.002,0.009
1710547583338,BUY,LIMIT,IOC,0.055,69988.76,69802.80,FILLED,0.007,0.055
1710547583338,BUY,LIMIT,IOC,0.055,69988.76,69802.80,FILLED,0.007,0.055
1710547585151,BUY,LIMIT,IOC,0.617,70017.24,69832.00,FILLED,0.617,0.617
1710547585151,BUY,LIMIT,IOC,0.617,70017.24,69832.00,FILLED,0.617,0.617
1710547587540,BUY,LIMIT,IOC,0.500,70079.61,69810.79,FILLED,0.050,0.500
1710547587540,BUY,LIMIT,IOC,0.500,70079.61,69810.79,FILLED,0.050,0.500
1710547589098,BUY,LIMIT,IOC,0.061,70081.29,69841.40,FILLED,0.061,0.061
1710547589098,BUY,LIMIT,IOC,0.061,70081.29,69841.40,FILLED,0.061,0.061
1710547591047,BUY,LIMIT,IOC,0.012,70101.79,69838.50,FILLED,0.012,0.012
1710547591047,BUY,LIMIT,IOC,0.012,70101.79,69838.50,FILLED,0.012,0.012
1710547601090,BUY,LIMIT,IOC,0.011,70117.52,69883.40,FILLED,0.011,0.011
1710547601090,BUY,LIMIT,IOC,0.011,70117.52,69883.40,FILLED,0.011,0.011
1710547603119,BUY,LIMIT,IOC,0.034,70135.20,69900.00,FILLED,0.034,0.034
1710547603119,BUY,LIMIT,IOC,0.034,70135.20,69900.00,FILLED,0.034,0.034
1710547604331,BUY,LIMIT,IOC,0.018,70149.83,69900.00,FILLED,0.018,0.018
1710547604331,BUY,LIMIT,IOC,0.018,70149.83,69900.00,FILLED,0.018,0.018
1710547606351,BUY,LIMIT,IOC,2.365,70203.64,69906.50,FILLED,0.429,2.365
