time,side,order_type,time_in_force,original_quantity,price,average_price,order_status,last_fill_quantity,accumulated_fill_quantity
1705276857098,SELL,LIMIT,IOC,0.039,41583.58,41767.10,FILLED,0.039,0.039
1705276857098,SELL,LIMIT,IOC,0.039,41583.58,41767.10,FILLED,0.039,0.039
1705276910073,SELL,LIMIT,IOC,0.180,41564.04,41723.30,FILLED,0.180,0.180
1705276910073,SELL,LIMIT,IOC,0.180,41564.04,41723.30,FILLED,0.180,0.180
1705276911085,SELL,LIMIT,IOC,0.030,41562.22,41720.60,FILLED,0.030,0.030
1705276911085,SELL,LIMIT,IOC,0.030,41562.22,41720.60,FILLED,0.030,0.030
1705276912754,SELL,LIMIT,IOC,0.005,41562.06,41724.30,FILLED,0.005,0.005
1705276912754,SELL,LIMIT,IOC,0.005,41562.06,41724.30,FILLED,0.005,0.005
1705276931071,SELL,LIMIT,IOC,0.036,41558.83,41723.60,FILLED,0.007,0.036
1705276931071,SELL,LIMIT,IOC,0.036,41558.83,41723.60,FILLED,0.007,0.036
1705276932333,SELL,LIMIT,IOC,0.093,41561.78,41731.20,FILLED,0.005,0.093
1705276932333,SELL,LIMIT,IOC,0.093,41561.78,41731.20,FILLED,0.005,0.093
1705276935742,SELL,LIMIT,IOC,0.026,41558.08,41726.90,FILLED,0.026,0.026
1705276935742,SELL,LIMIT,IOC,0.026,41558.08,41726.90,FILLED,0.026,0.026
1705276942491,SELL,LIMIT,IOC,0.001,41556.73,41721.50,FILLED,0.001,0.001
1705276942491,SELL,LIMIT,IOC,0.001,41556.73,41721.50,FILLED,0.001,0.001
1705276992078,SELL,LIMIT,IOC,0.375,41602.25,41781.10,FILLED,0.375,0.375
1705276992078,SELL,LIMIT,IOC,0.375,41602.25,41781.10,FILLED,0.375,0.375
1705277116188,BUY,LIMIT,IOC,0.339,42039.67,41890.80,FILLED,0.285,0.339
1705277116188,BUY,LIMIT,IOC,0.339,42039.67,41890.80,FILLED,0.285,0.339
1705277119202,BUY,LIMIT,IOC,0.150,42046.69,41883.70,FILLED,0.005,0.150
1705277119202,BUY,LIMIT,IOC,0.150,42046.69,41883.70,FILLED,0.005,0.150
1705277122979,BUY,LIMIT,IOC,0.036,42058.21,41904.00,FILLED,0.036,0.036
1705277122979,BUY,LIMIT,IOC,0.036,42058.21,41904.00,FILLED,0.036,0.036
1705277126283,BUY,LIMIT,IOC,0.010,42067.22,41908.40,FILLED,0.010,0.010
1705277126283,BUY,LIMIT,IOC,0.010,42067.22,41908.40,FILLED,0.010,0.010
1705277128573,BUY,LIMIT,IOC,0.022,42070.18,41919.70,FILLED,0.022,0.022
1705277128573,BUY,LIMIT,IOC,0.022,42070.18,41919.70,FILLED,0.022,0.022
1705277130764,BUY,LIMIT,IOC,0.038,42075.86,41913.70,FILLED,0.038,0.038
1705277130764,BUY,LIMIT,IOC,0.038,42075.86,41913.70,FILLED,0.038,0.038
1705277134265,BUY,LIMIT,IOC,0.842,42081.26,41921.90,FILLED,0.655,0.842
1705277134265,BUY,LIMIT,IOC,0.842,42081.26,41921.90,FILLED,0.655,0.842
1705277135286,BUY,LIMIT,IOC,0.148,42080.35,41914.60,FILLED,0.148,0.148
1705277135286,BUY,LIMIT,IOC,0.148,42080.35,41914.60,FILLED,0.148,0.148
1705277258233,SELL,LIMIT,IOC,0.016,41722.64,41888.20,FILLED,0.016,0.016
1705277258233,SELL,LIMIT,IOC,0.016,41722.64,41888.20,FILLED,0.016,0.016
1705277278380,SELL,LIMIT,IOC,0.004,41708.60,41886.50,FILLED,0.004,0.004
1705277278380,SELL,LIMIT,IOC,0.004,41708.60,41886.50,FILLED,0.004,0.004
1705277299171,SELL,LIMIT,IOC,0.007,41713.38,41877.70,FILLED,0.007,0.007
1705277299171,SELL,LIMIT,IOC,0.007,41713.38,41877.70,FILLED,0.007,0.007
1705277301099,SELL,LIMIT,IOC,0.005,41712.49,41880.50,FILLED,0.005,0.005
1705277301099,SELL,LIMIT,IOC,0.005,41712.49,41880.50,FILLED,0.005,0.005
1705277431022,BUY,LIMIT,IOC,0.013,42093.20,41944.00,FILLED,0.013,0.013
1705277431022,BUY,LIMIT,IOC,0.013,42093.20,41944.00,FILLED,0.013,0.013
1705277434299,BUY,LIMIT,IOC,0.003,42099.00,41954.20,FILLED,0.003,0.003
1705277434299,BUY,LIMIT,IOC,0.003,42099.00,41954.20,FILLED,0.003,0.003
1705277437307,BUY,LIMIT,IOC,0.010,42111.21,41957.70,FILLED,0.010,0.010
1705277437307,BUY,LIMIT,IOC,0.010,42111.21,41957.70,FILLED,0.010,0.010
1705277443156,BUY,LIMIT,IOC,5.774,42148.79,41980.30,FILLED,0.430,5.774
1705277443156,BUY,LIMIT,IOC,5.774,42148.79,41980.30,FILLED,0.430,5.774
1705277445710,BUY,LIMIT,IOC,0.013,42128.75,41982.00,FILLED,0.013,0.013
1705277445710,BUY,LIMIT,IOC,0.013,42128.75,41982.00,FILLED,0.013,0.013
1705277459030,BUY,LIMIT,IOC,0.091,42138.95,41986.40,FILLED,0.091,0.091
1705277459030,BUY,LIMIT,IOC,0.091,42138.95,41986.40,FILLED,0.091,0.091
1705277492046,BUY,LIMIT,IOC,0.014,42146.93,41992.00,FILLED,0.005,0.014
1705277492046,BUY,LIMIT,IOC,0.014,42146.93,41992.00,FILLED,0.005,0.014
1705277530716,BUY,LIMIT,IOC,0.011,42161.60,42007.60,FILLED,0.011,0.011
1705277530716,BUY,LIMIT,IOC,0.011,42161.60,42007.60,FILLED,0.011,0.011
1705277533554,BUY,LIMIT,IOC,0.990,42176.96,42005.80,FILLED,0.990,0.990
1705277533554,BUY,LIMIT,IOC,0.990,42176.96,42005.80,FILLED,0.990,0.990
1705277603326,BUY,LIMIT,IOC,0.008,42184.67,42022.70,FILLED,0.008,0.008
1705277603326,BUY,LIMIT,IOC,0.008,42184.67,42022.70,FILLED,0.008,0.008
1705277604452,BUY,LIMIT,IOC,0.292,42189.99,42023.00,FILLED,0.292,0.292
1705277604452,BUY,LIMIT,IOC,0.292,42189.99,42023.00,FILLED,0.292,0.292
1705277605667,BUY,LIMIT,IOC,0.126,42191.68,42029.00,FILLED,0.126,0.126
1705277605667,BUY,LIMIT,IOC,0.126,42191.68,42029.00,FILLED,0.126,0.126
1705277608156,BUY,LIMIT,IOC,0.012,42195.26,42029.00,FILLED,0.012,0.012
1705277608156,BUY,LIMIT,IOC,0.012,42195.26,42029.00,FILLED,0.012,0.012
1705277615249,BUY,LIMIT,IOC,3.559,42234.35,42058.64,FILLED,0.235,3.559
1705277615249,BUY,LIMIT,IOC,3.559,42234.35,42058.64,FILLED,0.235,3.559
1705277616283,BUY,LIMIT,IOC,0.630,42212.92,42058.20,FILLED,0.342,0.630
1705277616283,BUY,LIMIT,IOC,0.630,42212.92,42058.20,FILLED,0.342,0.630
1705277617452,BUY,LIMIT,IOC,0.025,42207.96,42055.00,FILLED,0.025,0.025
1705277617452,BUY,LIMIT,IOC,0.025,42207.96,42055.00,FILLED,0.025,0.025
1705277628025,BUY,LIMIT,IOC,0.007,42223.76,42068.60,FILLED,0.007,0.007
1705277628025,BUY,LIMIT,IOC,0.007,42223.76,42068.60,FILLED,0.007,0.007
1705277629030,BUY,LIMIT,IOC,0.060,42227.42,42063.40,FILLED,0.060,0.060
1705277629030,BUY,LIMIT,IOC,0.060,42227.42,42063.40,FILLED,0.060,0.060
1705277649620,BUY,LIMIT,IOC,0.038,42230.50,42068.80,FILLED,0.038,0.038
1705277649620,BUY,LIMIT,IOC,0.038,42230.50,42068.80,FILLED,0.038,0.038
1705277654108,BUY,LIMIT,IOC,0.006,42231.90,42065.20,FILLED,0.006,0.006
1705277654108,BUY,LIMIT,IOC,0.006,42231.90,42065.20,FILLED,0.006,0.006
1705277659194,BUY,LIMIT,IOC,0.006,42233.21,42069.00,FILLED,0.006,0.006
1705277659194,BUY,LIMIT,IOC,0.006,42233.21,42069.00,FILLED,0.006,0.006
1705277763497,BUY,LIMIT,IOC,0.188,42243.36,42087.70,FILLED,0.188,0.188
1705277763497,BUY,LIMIT,IOC,0.188,42243.36,42087.70,FILLED,0.188,0.188
1705277806035,BUY,LIMIT,IOC,0.019,42259.54,42124.00,FILLED,0.019,0.019
1705277806035,BUY,LIMIT,IOC,0.019,42259.54,42124.00,FILLED,0.019,0.019
1705277807123,BUY,LIMIT,IOC,0.011,42262.65,42121.30,FILLED,0.011,0.011
1705277807123,BUY,LIMIT,IOC,0.011,42262.65,42121.30,FILLED,0.011,0.011
1705277808378,BUY,LIMIT,IOC,0.095,42277.96,42124.00,FILLED,0.025,0.095
