time,side,order_type,time_in_force,original_quantity,price,average_price,order_status,last_fill_quantity,accumulated_fill_quantity
1707523831560,BUY,LIMIT,IOC,0.022,47413.34,47227.70,FILLED,0.022,0.022
1707523831560,BUY,LIMIT,IOC,0.022,47413.34,47227.70,FILLED,0.022,0.022
1707523838335,BUY,LIMIT,IOC,0.076,47418.18,47231.80,FILLED,0.076,0.076
1707523838335,BUY,LIMIT,IOC,0.076,47418.18,47231.80,FILLED,0.076,0.076
1707524238645,BUY,LIMIT,IOC,0.042,47390.48,47207.39,FILLED,0.012,0.042
1707524238645,BUY,LIMIT,IOC,0.042,47390.48,47207.39,FILLED,0.012,0.042
1707525043377,BUY,LIMIT,IOC,0.003,47369.62,47181.00,FILLED,0.003,0.003
1707525043377,BUY,LIMIT,IOC,0.003,47369.62,47181.00,FILLED,0.003,0.003
1707525146404,SELL,LIMIT,IOC,0.017,46893.54,47075.60,FILLED,0.017,0.017
1707525146404,SELL,LIMIT,IOC,0.017,46893.54,47075.60,FILLED,0.017,0.017
1707525441261,SELL,LIMIT,IOC,0.037,46866.05,47045.10,FILLED,0.037,0.037
1707525441261,SELL,LIMIT,IOC,0.037,46866.05,47045.10,FILLED,0.037,0.037
1707525447931,SELL,LIMIT,IOC,0.051,46858.97,47037.70,FILLED,0.051,0.051
1707525447931,SELL,LIMIT,IOC,0.051,46858.97,47037.70,FILLED,0.051,0.051
1707525522049,SELL,LIMIT,IOC,0.003,46847.27,47030.00,FILLED,0.003,0.003
1707525522049,SELL,LIMIT,IOC,0.003,46847.27,47030.00,FILLED,0.003,0.003
1707525523065,SELL,LIMIT,IOC,0.105,46848.33,47035.20,FILLED,0.105,0.105
1707525523065,SELL,LIMIT,IOC,0.105,46848.33,47035.20,FILLED,0.105,0.105
1707525542322,SELL,LIMIT,IOC,0.021,46846.53,47029.90,FILLED,0.021,0.021
1707525542322,SELL,LIMIT,IOC,0.021,46846.53,47029.90,FILLED,0.021,0.021
1707525801759,BUY,LIMIT,IOC,0.005,47297.16,47110.00,FILLED,0.005,0.005
1707525801759,BUY,LIMIT,IOC,0.005,47297.16,47110.00,FILLED,0.005,0.005
1707526495168,BUY,LIMIT,IOC,0.025,47243.71,47053.00,FILLED,0.025,0.025
1707526495168,BUY,LIMIT,IOC,0.025,47243.71,47053.00,FILLED,0.025,0.025
1707526737835,BUY,LIMIT,IOC,0.230,47235.43,47051.20,FILLED,0.187,0.230
1707526737835,BUY,LIMIT,IOC,0.230,47235.43,47051.20,FILLED,0.187,0.230
1707526833787,BUY,LIMIT,IOC,0.021,47229.11,47047.30,FILLED,0.021,0.021
1707526833787,BUY,LIMIT,IOC,0.021,47229.11,47047.30,FILLED,0.021,0.021
1707527199657,SELL,LIMIT,IOC,0.014,46865.32,47045.60,FILLED,0.008,0.014
1707527199657,SELL,LIMIT,IOC,0.014,46865.32,47045.60,FILLED,0.008,0.014
1707527894447,BUY,LIMIT,IOC,0.004,47299.54,47116.00,FILLED,0.003,0.004
1707527894447,BUY,LIMIT,IOC,0.004,47299.54,47116.00,FILLED,0.003,0.004
1707527922273,BUY,LIMIT,IOC,0.055,47326.35,47137.80,FILLED,0.006,0.055
1707527922273,BUY,LIMIT,IOC,0.055,47326.35,47137.80,FILLED,0.006,0.055
1707528037994,BUY,LIMIT,IOC,0.008,47353.82,47165.00,FILLED,0.008,0.008
1707528037994,BUY,LIMIT,IOC,0.008,47353.82,47165.00,FILLED,0.008,0.008
1707528250176,BUY,LIMIT,IOC,0.030,47340.24,47190.40,FILLED,0.017,0.030
1707528250176,BUY,LIMIT,IOC,0.030,47340.24,47190.40,FILLED,0.017,0.030
1707528272915,BUY,LIMIT,IOC,0.024,47379.31,47192.90,FILLED,0.024,0.024
1707528272915,BUY,LIMIT,IOC,0.024,47379.31,47192.90,FILLED,0.024,0.024
1707528482541,BUY,LIMIT,IOC,0.022,47400.24,47212.00,FILLED,0.022,0.022
1707528482541,BUY,LIMIT,IOC,0.022,47400.24,47212.00,FILLED,0.022,0.022
1707528483593,BUY,LIMIT,IOC,0.005,47396.42,47212.00,FILLED,0.005,0.005
1707528483593,BUY,LIMIT,IOC,0.005,47396.42,47212.00,FILLED,0.005,0.005
1707528489329,BUY,LIMIT,IOC,0.247,47402.43,47215.80,FILLED,0.247,0.247
1707528489329,BUY,LIMIT,IOC,0.247,47402.43,47215.80,FILLED,0.247,0.247
1707528509279,BUY,LIMIT,IOC,0.053,47405.89,47217.30,FILLED,0.003,0.053
1707528509279,BUY,LIMIT,IOC,0.053,47405.89,47217.30,FILLED,0.003,0.053
1707528836597,BUY,LIMIT,IOC,0.008,47407.50,47220.00,FILLED,0.008,0.008
1707528836597,BUY,LIMIT,IOC,0.008,47407.50,47220.00,FILLED,0.008,0.008
1707528840461,BUY,LIMIT,IOC,0.053,47409.73,47223.00,FILLED,0.038,0.053
1707528840461,BUY,LIMIT,IOC,0.053,47409.73,47223.00,FILLED,0.038,0.053
1707528845281,BUY,LIMIT,IOC,0.081,47411.64,47223.00,FILLED,0.081,0.081
1707528845281,BUY,LIMIT,IOC,0.081,47411.64,47223.00,FILLED,0.081,0.081
1707528876002,BUY,LIMIT,IOC,0.005,47413.72,47218.40,FILLED,0.005,0.005
1707528876002,BUY,LIMIT,IOC,0.005,47413.72,47218.40,FILLED,0.005,0.005
1707528889292,BUY,LIMIT,IOC,0.039,47412.44,47231.00,FILLED,0.039,0.039
1707528889292,BUY,LIMIT,IOC,0.039,47412.44,47231.00,FILLED,0.039,0.039
1707528890383,BUY,LIMIT,IOC,0.465,47416.42,47231.00,FILLED,0.020,0.465
1707528890383,BUY,LIMIT,IOC,0.465,47416.42,47231.00,FILLED,0.020,0.465
1707529086097,BUY,LIMIT,IOC,0.015,47420.04,47231.30,FILLED,0.015,0.015
1707529086097,BUY,LIMIT,IOC,0.015,47420.04,47231.30,FILLED,0.015,0.015
1707529093659,BUY,LIMIT,IOC,0.037,47423.17,47234.40,FILLED,0.037,0.037
1707529093659,BUY,LIMIT,IOC,0.037,47423.17,47234.40,FILLED,0.037,0.037
